hgnc	ens
BASP1-AS1	ENSG00000215196
	ENSG00000260853
NFATC2IP	ENSG00000176953
BASP1	ENSG00000176788
GADD45A	ENSG00000116717
POMP	ENSG00000132963
RIOX2	ENSG00000170854
LSM1	ENSG00000175324
RIMKLA	ENSG00000177181
WDR5	ENSG00000196363
ZHX3	ENSG00000174306
	ENSG00000242622
	ENSG00000254162
LINC02042	ENSG00000240893
SIAH2	ENSG00000181788
ASH2L	ENSG00000129691
GBP3	ENSG00000117226
	ENSG00000260086
GPRACR	ENSG00000196979
SFXN5	ENSG00000144040
UNC50	ENSG00000115446
SLC9A7	ENSG00000065923
GAS6	ENSG00000183087
HCN3	ENSG00000143630
NCOA2	ENSG00000140396
NFE2L3	ENSG00000050344
TSHR	ENSG00000165409
CBX3	ENSG00000122565
GAS6-AS1	ENSG00000233695
ATL2	ENSG00000119787
WLS	ENSG00000116729
TMEM255B	ENSG00000184497
PPCS	ENSG00000127125
RPL13AP7	ENSG00000213885
CEP170P1	ENSG00000154608
CPA4	ENSG00000128510
	ENSG00000260404
PLCG1	ENSG00000124181
	ENSG00000273055
DLD	ENSG00000091140
PRKAR1B-AS1	ENSG00000237181
DCTN1	ENSG00000204843
C2orf76	ENSG00000186132
PRKAR1B	ENSG00000188191
NOC2L	ENSG00000188976
CCDC30	ENSG00000186409
LINC02762	ENSG00000250303
LINC00900	ENSG00000246100
PIGT	ENSG00000124155
BRWD1	ENSG00000185658
BTBD11	ENSG00000151136
EMX2	ENSG00000170370
PTCD3	ENSG00000132300
FTH1P10	ENSG00000223361
USP47	ENSG00000170242
C4orf48	ENSG00000243449
MRPS18B	ENSG00000204568
EMX2OS	ENSG00000229847
BMS1P8	ENSG00000260518
MIR193BHG	ENSG00000262454
CDH7	ENSG00000081138
FAM180A	ENSG00000189320
PLD6	ENSG00000179598
CLSTN2	ENSG00000158258
PPP1R10	ENSG00000204569
SUB1	ENSG00000113387
AADAT	ENSG00000109576
ASAP1-IT2	ENSG00000280543
PNP	ENSG00000198805
FLCN	ENSG00000154803
ASAP1	ENSG00000153317
ALDH2	ENSG00000111275
ASPH	ENSG00000198363
	ENSG00000285043
GNG12	ENSG00000172380
CEP128	ENSG00000100629
TNRC6A	ENSG00000090905
	ENSG00000269918
BCAT1	ENSG00000060982
NAT8L	ENSG00000185818
SLC24A5	ENSG00000188467
STMP1	ENSG00000243317
	ENSG00000257298
LIMA1	ENSG00000050405
PUS1	ENSG00000177192
EXD3	ENSG00000187609
TTC39A	ENSG00000085831
	ENSG00000253816
RPL18AP3	ENSG00000213442
TXNRD1	ENSG00000198431
KCNJ5	ENSG00000120457
DNAAF5	ENSG00000164818
TOP1	ENSG00000198900
MPEG1	ENSG00000197629
DTX4	ENSG00000110042
CREBBP	ENSG00000005339
RAB11FIP5	ENSG00000135631
ACAD10	ENSG00000111271
RBL1	ENSG00000080839
LPCAT4	ENSG00000176454
UBE2E2	ENSG00000182247
BMP2	ENSG00000125845
NOMO3	ENSG00000103226
MCAT	ENSG00000100294
ALDOA	ENSG00000149925
	ENSG00000284959
PHKA1	ENSG00000067177
EXO5	ENSG00000164002
SLC46A3	ENSG00000139508
SERPINA5	ENSG00000188488
GRPEL1	ENSG00000109519
MALT1	ENSG00000172175
LAMB1	ENSG00000091136
LINC02447	ENSG00000245468
TIAF1	ENSG00000221995
CCT2	ENSG00000166226
NUDCD3	ENSG00000015676
CDH19	ENSG00000071991
UBE2E1	ENSG00000170142
MTMR9	ENSG00000104643
	ENSG00000286130
RSRC2	ENSG00000111011
GGA2	ENSG00000103365
	ENSG00000276698
CHMP4A	ENSG00000254505
SDCBP2-AS1	ENSG00000234684
PRPS2	ENSG00000101911
MND1	ENSG00000121211
OST4	ENSG00000228474
ECI1	ENSG00000167969
BMS1	ENSG00000165733
ABTB1	ENSG00000114626
SDCBP2	ENSG00000125775
AGBL5	ENSG00000084693
MIA2	ENSG00000150527
SERPINA3	ENSG00000196136
	ENSG00000259522
SHOC2	ENSG00000108061
DTNB	ENSG00000138101
	ENSG00000254692
TM9SF1	ENSG00000100926
TGM1	ENSG00000092295
ZMYND12	ENSG00000066185
SORCS2	ENSG00000184985
HAUS3	ENSG00000214367
LONRF2	ENSG00000170500
LRRC58	ENSG00000163428
	ENSG00000257767
	ENSG00000260317
PRAF2	ENSG00000243279
ARFIP2	ENSG00000132254
FSTL1	ENSG00000163430
CRACD	ENSG00000109265
FKBP1A	ENSG00000088832
MERTK	ENSG00000153208
C16orf91	ENSG00000174109
WDR45	ENSG00000196998
TSPO	ENSG00000100300
PTPRJ	ENSG00000149177
	ENSG00000261663
IL17RD	ENSG00000144730
PSAT1	ENSG00000135069
CAND1	ENSG00000111530
GYG2P1	ENSG00000206159
POLN	ENSG00000130997
GBP1	ENSG00000117228
	ENSG00000285646
MRAS	ENSG00000158186
	ENSG00000261188
KIAA2013	ENSG00000116685
OAT	ENSG00000065154
NEDD8	ENSG00000129559
ENSA	ENSG00000143420
AFAP1	ENSG00000196526
SENP8	ENSG00000166192
SORBS1	ENSG00000095637
HSD17B11	ENSG00000198189
DSEL	ENSG00000171451
SLC25A25-AS1	ENSG00000234771
STIM2	ENSG00000109689
REC8	ENSG00000100918
SLC25A25	ENSG00000148339
MYO9A	ENSG00000066933
NUDT8	ENSG00000167799
LINC02444	ENSG00000258123
GTF2IRD1	ENSG00000006704
MSL2	ENSG00000174579
HSD17B13	ENSG00000170509
TIMM10B	ENSG00000132286
LDLRAP1	ENSG00000157978
POM121B	ENSG00000205578
DMRTA1	ENSG00000176399
BZW2	ENSG00000136261
LMAN2L	ENSG00000114988
POLR3F	ENSG00000132664
LINC01239	ENSG00000234840
PTCHD1	ENSG00000165186
RAPGEF4	ENSG00000091428
ZNF684	ENSG00000117010
SLCO1A2	ENSG00000084453
STYX	ENSG00000198252
AKAP11	ENSG00000023516
	ENSG00000254614
CAPN1	ENSG00000014216
DNHD1	ENSG00000179532
MST1R	ENSG00000164078
PIF1	ENSG00000140451
SPNS1	ENSG00000169682
WHRN	ENSG00000095397
RPS4Y1	ENSG00000129824
PLIN2	ENSG00000147872
NCS1	ENSG00000107130
MYEF2	ENSG00000104177
TPST2	ENSG00000128294
GFPT1	ENSG00000198380
SC5D	ENSG00000109929
CNTNAP2	ENSG00000174469
RNF212	ENSG00000178222
EXOSC10	ENSG00000171824
TFAP2A	ENSG00000137203
OR14J1	ENSG00000204695
TRIB3	ENSG00000101255
PITPNA	ENSG00000174238
RSPRY1	ENSG00000159579
NAIF1	ENSG00000171169
PMPCA	ENSG00000165688
METTL14	ENSG00000145388
TLR7	ENSG00000196664
CRISPLD1	ENSG00000121005
SRBD1	ENSG00000068784
ST13	ENSG00000100380
RFC1	ENSG00000035928
ADAMTS6	ENSG00000049192
ARL5B	ENSG00000165997
GYG2	ENSG00000056998
SSBP1	ENSG00000106028
RBBP9	ENSG00000089050
UFC1	ENSG00000143222
RYBP	ENSG00000163602
MON1A	ENSG00000164077
	ENSG00000243568
RNASE10	ENSG00000182545
FGD6	ENSG00000180263
CRIP2	ENSG00000182809
DAB2IP	ENSG00000136848
CCDC154	ENSG00000197599
ICA1	ENSG00000003147
IL6ST	ENSG00000134352
PRCP	ENSG00000137509
PITPNA-AS1	ENSG00000236618
BAAT	ENSG00000136881
FKBP7	ENSG00000079150
	ENSG00000250144
TBCA	ENSG00000171530
INTS4	ENSG00000149262
CDH5	ENSG00000179776
USP33	ENSG00000077254
	ENSG00000282988
AMPH	ENSG00000078053
TIGD2	ENSG00000180346
SYNPR	ENSG00000163630
TSPAN1	ENSG00000117472
	ENSG00000224675
	ENSG00000283064
NIM1K	ENSG00000177453
ENTR1	ENSG00000165689
ZNF704	ENSG00000164684
PHYH	ENSG00000107537
PCDH11X	ENSG00000102290
ACTBP2	ENSG00000213763
NFATC4	ENSG00000100968
RAB11FIP2	ENSG00000107560
	ENSG00000257386
ATXN7L3B	ENSG00000253719
ZNF367	ENSG00000165244
GPRIN3	ENSG00000185477
SFXN3	ENSG00000107819
GTF2H4	ENSG00000213780
PIK3R3	ENSG00000117461
NCAM1	ENSG00000149294
FAM171B	ENSG00000144369
	ENSG00000261067
ROCK1P1	ENSG00000263006
LAT	ENSG00000213658
OTOA	ENSG00000155719
EIF4A1P10	ENSG00000229132
KRT8	ENSG00000170421
LZTS2	ENSG00000107816
ITGAV	ENSG00000138448
PLEKHA3	ENSG00000116095
AAMDC	ENSG00000087884
TTLL12	ENSG00000100304
ADRA2A	ENSG00000150594
YTHDF1	ENSG00000149658
CBLB	ENSG00000114423
NR1D2	ENSG00000174738
	ENSG00000247134
CD151	ENSG00000177697
GALE	ENSG00000117308
NEPRO	ENSG00000163608
	ENSG00000285278
TFAP2A-AS1	ENSG00000229950
RPL23AP42	ENSG00000234851
	ENSG00000269888
SEC22B	ENSG00000265808
PDZD7	ENSG00000186862
SRD5A1	ENSG00000145545
LRP2	ENSG00000081479
	ENSG00000223804
MST1	ENSG00000173531
	ENSG00000184906
DBI	ENSG00000155368
GBP2	ENSG00000162645
	ENSG00000279278
MICU1	ENSG00000107745
TMX4	ENSG00000125827
RPL15	ENSG00000174748
HSPB11	ENSG00000081870
PSMA5	ENSG00000143106
KPNA1	ENSG00000114030
TSSC2	ENSG00000223756
	ENSG00000274422
	ENSG00000285634
VARS2	ENSG00000137411
DDIAS	ENSG00000165490
KRT18	ENSG00000111057
ADGRA3	ENSG00000152990
NPAT	ENSG00000149308
SNAP29	ENSG00000099940
MGAT4A	ENSG00000071073
NLGN1	ENSG00000169760
TGIF1	ENSG00000177426
THOC7	ENSG00000163634
PI4KA	ENSG00000241973
ATP6V1G1	ENSG00000136888
LNCARSR	ENSG00000233086
SHQ1	ENSG00000144736
MRPL50	ENSG00000136897
	ENSG00000285399
NSUN5	ENSG00000130305
RAB30	ENSG00000137502
APEH	ENSG00000164062
	ENSG00000272779
	ENSG00000286129
ATXN7	ENSG00000163635
FAM53B	ENSG00000189319
RUVBL1	ENSG00000175792
LHPP	ENSG00000107902
SETD4	ENSG00000185917
ZMYND11	ENSG00000015171
TSPAN13	ENSG00000106537
BCL11A	ENSG00000119866
SNCA	ENSG00000145335
COMMD7	ENSG00000149600
FTSJ1	ENSG00000068438
IKBIP	ENSG00000166130
GTPBP8	ENSG00000163607
NKIRAS1	ENSG00000197885
FRG1HP	ENSG00000276291
PGM5P2	ENSG00000277778
POLR2L	ENSG00000177700
	ENSG00000285382
EEF1AKMT2	ENSG00000203791
	ENSG00000272758
	ENSG00000280077
CBWD6	ENSG00000215126
ZER1	ENSG00000160445
SORL1	ENSG00000137642
LINC01505	ENSG00000234323
ATM	ENSG00000149311
IMPACT	ENSG00000154059
	ENSG00000279092
GOLGA8A	ENSG00000175265
CCDC15	ENSG00000149548
RFTN1	ENSG00000131378
CACNB3	ENSG00000167535
MTPN	ENSG00000105887
SLC7A1	ENSG00000139514
RNF5P1	ENSG00000253570
EEFSEC	ENSG00000132394
TMEM87B	ENSG00000153214
SMAD2	ENSG00000175387
XPNPEP3	ENSG00000196236
REPIN1	ENSG00000214022
RYR3	ENSG00000198838
SEC61A1	ENSG00000058262
ZNF189	ENSG00000136870
CXCR4	ENSG00000121966
NXPH4	ENSG00000182379
BUD13	ENSG00000137656
NRAS	ENSG00000213281
ARNTL2	ENSG00000029153
NDUFB4	ENSG00000065518
	ENSG00000284691
CDADC1	ENSG00000102543
TLR8	ENSG00000101916
	ENSG00000247416
ZNF775	ENSG00000196456
PRDX4	ENSG00000123131
CDC25B	ENSG00000101224
AASDH	ENSG00000157426
ALDH3B2	ENSG00000132746
RP2	ENSG00000102218
SHMT2	ENSG00000182199
SVOP	ENSG00000166111
GUCY1B1	ENSG00000061918
KBTBD12	ENSG00000187715
PIK3R6	ENSG00000276231
FPGS	ENSG00000136877
SRGAP1	ENSG00000196935
FAM168B	ENSG00000152102
OXNAD1	ENSG00000154814
FAM167A	ENSG00000154319
MGLL	ENSG00000074416
ZDHHC20	ENSG00000180776
	ENSG00000274383
GAS6-DT	ENSG00000272695
BIRC7	ENSG00000101197
TMSB4X	ENSG00000205542
CBR1	ENSG00000159228
ANKDD1A	ENSG00000166839
ING1	ENSG00000153487
SKI	ENSG00000157933
CARS2	ENSG00000134905
RXRA	ENSG00000186350
PFN1P2	ENSG00000270392
	ENSG00000261534
NBPF8	ENSG00000270231
MORN1	ENSG00000116151
TMEM37	ENSG00000171227
ZPR1	ENSG00000109917
MPV17	ENSG00000115204
TTLL11	ENSG00000175764
SCN8A	ENSG00000196876
IL32	ENSG00000008517
FTH1P23	ENSG00000242960
GXYLT2	ENSG00000172986
UBL3	ENSG00000122042
GTF2H2B	ENSG00000226259
CDC14B	ENSG00000081377
SGSM2	ENSG00000141258
NDUFA8	ENSG00000119421
TRAC	ENSG00000277734
PPP4R2	ENSG00000163605
PLEKHO2	ENSG00000241839
GBP4	ENSG00000162654
NAV3	ENSG00000067798
MXD4	ENSG00000123933
MIATNB	ENSG00000244625
CAB39L	ENSG00000102547
NAP1L3	ENSG00000186310
JADE3	ENSG00000102221
ADAM10	ENSG00000137845
SLC14A2	ENSG00000132874
	ENSG00000284734
SLC8B1	ENSG00000089060
IMPDH1	ENSG00000106348
MIAT	ENSG00000225783
ZNF280B	ENSG00000275004
ZBTB12	ENSG00000204366
USP21	ENSG00000143258
SEPHS1	ENSG00000086475
	ENSG00000244255
PAXIP1-AS1	ENSG00000273344
	ENSG00000236299
SLC14A1	ENSG00000141469
CFB	ENSG00000243649
TMEM268	ENSG00000157693
CRTC2	ENSG00000160741
DBNL	ENSG00000136279
KIAA0319L	ENSG00000142687
EPSTI1	ENSG00000133106
PTPRO	ENSG00000151490
SLC52A2	ENSG00000185803
DYRK2	ENSG00000127334
MMP15	ENSG00000102996
PLBD2	ENSG00000151176
	ENSG00000263345
	ENSG00000280242
DAD1	ENSG00000129562
SMG6	ENSG00000070366
TACSTD2	ENSG00000184292
ZNF280A	ENSG00000169548
PLAC9	ENSG00000189129
HMGN2	ENSG00000198830
HABP4	ENSG00000130956
RNF34	ENSG00000170633
CCT3	ENSG00000163468
HRH4	ENSG00000134489
NUCB2	ENSG00000070081
ZNF594	ENSG00000180626
PAG1	ENSG00000076641
	ENSG00000275131
LINC02861	ENSG00000262185
HMCN2	ENSG00000148357
FBLN7	ENSG00000144152
MCEE	ENSG00000124370
VWF	ENSG00000110799
HRG	ENSG00000113905
ARHGAP29	ENSG00000137962
KCNJ3	ENSG00000162989
C2	ENSG00000166278
KDM2B	ENSG00000089094
GBP5	ENSG00000154451
PLLP	ENSG00000102934
SPTBN2	ENSG00000173898
SCUBE1	ENSG00000159307
PRAME	ENSG00000185686
ARL2BP	ENSG00000102931
TBCCD1	ENSG00000113838
MBLAC1	ENSG00000214309
SCIMP	ENSG00000161929
FBXL6	ENSG00000182325
TAF6	ENSG00000106290
HMGCS1	ENSG00000112972
	ENSG00000197099
RIMS3	ENSG00000117016
GALNTL6	ENSG00000174473
MID1IP1	ENSG00000165175
ATP8B4	ENSG00000104043
PKD1P1	ENSG00000244257
DNAJB11	ENSG00000090520
ABHD4	ENSG00000100439
	ENSG00000183889
GPAM	ENSG00000119927
HIC1	ENSG00000177374
	ENSG00000273117
TNFSF15	ENSG00000181634
TBC1D13	ENSG00000107021
TMX3	ENSG00000166479
NBPF26	ENSG00000273136
SYPL2	ENSG00000143028
TSR1	ENSG00000167721
CSGALNACT1	ENSG00000147408
	ENSG00000241168
SMAD1	ENSG00000170365
MAGED4B	ENSG00000187243
PDPR	ENSG00000090857
ZFY	ENSG00000067646
CTDSPL2	ENSG00000137770
PRKCE	ENSG00000171132
ZFYVE28	ENSG00000159733
SPON2	ENSG00000159674
	ENSG00000197149
CCDC141	ENSG00000163492
FUT10	ENSG00000172728
BCCIP	ENSG00000107949
INSIG1	ENSG00000186480
PLXDC2	ENSG00000120594
SRR	ENSG00000167720
NFYC	ENSG00000066136
SETDB2	ENSG00000136169
	ENSG00000250771
TMEM131L	ENSG00000121210
	ENSG00000283149
ADCY9	ENSG00000162104
PSMD10P2	ENSG00000226652
NET1	ENSG00000173848
CRYGS	ENSG00000213139
ESYT3	ENSG00000158220
RECQL	ENSG00000004700
TTN	ENSG00000155657
CRKL	ENSG00000099942
NDUFA4L2	ENSG00000185633
ZC3H8	ENSG00000144161
AP5S1	ENSG00000125843
NCDN	ENSG00000020129
TNC	ENSG00000041982
	ENSG00000261641
OR6J1	ENSG00000255804
DHX32	ENSG00000089876
RPL13AP3	ENSG00000177350
EIF3J-DT	ENSG00000179523
CLCN7	ENSG00000103249
USP9Y	ENSG00000114374
SEC23B	ENSG00000101310
ERLEC1	ENSG00000068912
STX1B	ENSG00000099365
CHL1-AS2	ENSG00000224318
USP6NL	ENSG00000148429
PWP1	ENSG00000136045
ENDOG	ENSG00000167136
CHL1	ENSG00000134121
CAPS2	ENSG00000180881
LRRC8A	ENSG00000136802
PYROXD1	ENSG00000121350
GOLPH3L	ENSG00000143457
CFAP20	ENSG00000070761
NHLRC1	ENSG00000187566
KLHL17	ENSG00000187961
TRAM1	ENSG00000067167
SPOUT1	ENSG00000198917
TENT4A	ENSG00000112941
LINC00869	ENSG00000277147
ARHGAP12	ENSG00000165322
ZNF462	ENSG00000148143
CSNK2A2	ENSG00000070770
NPHP4	ENSG00000131697
CTBP1-AS	ENSG00000280927
CTBP1-DT	ENSG00000196810
GAPLINC	ENSG00000266835
CLDND1	ENSG00000080822
NAALADL2	ENSG00000177694
PRKCI	ENSG00000163558
CTBP1	ENSG00000159692
BEND7	ENSG00000165626
LINC00518	ENSG00000183674
PGAP4	ENSG00000165152
DGCR5	ENSG00000237517
PIK3R4	ENSG00000196455
EP400	ENSG00000183495
	ENSG00000260751
LINC00996	ENSG00000242258
UBFD1	ENSG00000103353
PON2	ENSG00000105854
ARHGAP42	ENSG00000165895
HPSE	ENSG00000173083
CUL1	ENSG00000055130
TDO2	ENSG00000151790
SDHAP1	ENSG00000185485
TLN2	ENSG00000171914
DDX21	ENSG00000165732
CNPY4	ENSG00000166997
KYAT1	ENSG00000171097
EARS2	ENSG00000103356
ASB3	ENSG00000115239
NPR3	ENSG00000113389
TPMT	ENSG00000137364
CUL2	ENSG00000108094
MCM7	ENSG00000166508
AHR	ENSG00000106546
APPL1	ENSG00000157500
PDS5B	ENSG00000083642
AP3B1	ENSG00000132842
RNASE4	ENSG00000258818
SHOX2	ENSG00000168779
	ENSG00000283097
	ENSG00000259171
ANG	ENSG00000214274
FAM9C	ENSG00000187268
ACSL1	ENSG00000151726
UGT2B7	ENSG00000171234
CCL28	ENSG00000151882
CALML3-AS1	ENSG00000205488
ATXN7L2	ENSG00000162650
MYO7B	ENSG00000169994
CCL22	ENSG00000102962
MAVS	ENSG00000088888
CHST10	ENSG00000115526
CLN6	ENSG00000128973
RBX1	ENSG00000100387
ZBTB49	ENSG00000168826
VPS11	ENSG00000160695
RSRC1	ENSG00000174891
	ENSG00000280399
PACSIN3	ENSG00000165912
IQCE	ENSG00000106012
GALNT7	ENSG00000109586
HMGCL	ENSG00000117305
MPHOSPH10	ENSG00000124383
PIGN	ENSG00000197563
PRDM4	ENSG00000110851
UBD	ENSG00000213886
OR2I1P	ENSG00000237988
CHAC2	ENSG00000143942
GABBR1	ENSG00000204681
RNF24	ENSG00000101236
	ENSG00000286112
ZC3H6	ENSG00000188177
CTSO	ENSG00000256043
LY6G5C	ENSG00000204428
	ENSG00000273314
KIAA1211L	ENSG00000196872
RER1	ENSG00000157916
LINC00920	ENSG00000246898
SNHG1	ENSG00000255717
MACROD2	ENSG00000172264
GAL	ENSG00000069482
LACTB2-AS1	ENSG00000246366
DNAJC15	ENSG00000120675
MAK16	ENSG00000198042
LACTB2	ENSG00000147592
MMAA	ENSG00000151611
LURAP1	ENSG00000171357
POMGNT1	ENSG00000085998
BEAN1	ENSG00000166546
RAD23B	ENSG00000119318
PANK2	ENSG00000125779
TTI2	ENSG00000129696
CX3CL1	ENSG00000006210
CYB561D1	ENSG00000174151
